# id,subject,official_answer  (source: 考選部 official via reconcile pipeline; mirrors questions.json answer field)
104-1-醫學一-公共衛生學-Q100,公共衛生學,D
104-1-醫學一-公共衛生學-Q83,公共衛生學,B
104-1-醫學一-公共衛生學-Q84,公共衛生學,D
104-1-醫學一-公共衛生學-Q85,公共衛生學,B
104-1-醫學一-公共衛生學-Q86,公共衛生學,D
104-1-醫學一-公共衛生學-Q87,公共衛生學,D
104-1-醫學一-公共衛生學-Q88,公共衛生學,D
104-1-醫學一-公共衛生學-Q89,公共衛生學,B
104-1-醫學一-公共衛生學-Q90,公共衛生學,C
104-1-醫學一-公共衛生學-Q91,公共衛生學,B
104-1-醫學一-公共衛生學-Q92,公共衛生學,A
104-1-醫學一-公共衛生學-Q93,公共衛生學,D
104-1-醫學一-公共衛生學-Q94,公共衛生學,C
104-1-醫學一-公共衛生學-Q95,公共衛生學,B
104-1-醫學一-公共衛生學-Q96,公共衛生學,B
104-1-醫學一-公共衛生學-Q97,公共衛生學,C
104-1-醫學一-公共衛生學-Q98,公共衛生學,A
104-1-醫學一-公共衛生學-Q99,公共衛生學,B
104-1-醫學一-寄生蟲學-Q75,寄生蟲學,B
104-1-醫學一-寄生蟲學-Q76,寄生蟲學,B
104-1-醫學一-寄生蟲學-Q77,寄生蟲學,B
104-1-醫學一-寄生蟲學-Q78,寄生蟲學,A
104-1-醫學一-寄生蟲學-Q79,寄生蟲學,B
104-1-醫學一-寄生蟲學-Q80,寄生蟲學,B
104-1-醫學一-寄生蟲學-Q81,寄生蟲學,C
104-1-醫學一-寄生蟲學-Q82,寄生蟲學,C
104-1-醫學一-微生物暨免疫學-Q42,微生物暨免疫學,C
104-1-醫學一-微生物暨免疫學-Q43,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q44,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q45,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q46,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q47,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q48,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q49,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q50,微生物暨免疫學,B
104-1-醫學一-微生物暨免疫學-Q51,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q52,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q53,微生物暨免疫學,B
104-1-醫學一-微生物暨免疫學-Q54,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q55,微生物暨免疫學,B
104-1-醫學一-微生物暨免疫學-Q56,微生物暨免疫學,B
104-1-醫學一-微生物暨免疫學-Q57,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q58,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q59,微生物暨免疫學,B
104-1-醫學一-微生物暨免疫學-Q60,微生物暨免疫學,B
104-1-醫學一-微生物暨免疫學-Q61,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q62,微生物暨免疫學,C
104-1-醫學一-微生物暨免疫學-Q63,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q64,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q65,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q66,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q67,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q68,微生物暨免疫學,A
104-1-醫學一-微生物暨免疫學-Q69,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q70,微生物暨免疫學,C
104-1-醫學一-微生物暨免疫學-Q71,微生物暨免疫學,D
104-1-醫學一-微生物暨免疫學-Q72,微生物暨免疫學,C
